post_id,post_date,platform,post_type,likes,comments,shares,impressions,reach,follower_count_at_time_of_post
101,2025-05-01,Facebook,Image,"1,256",88,45,15250,9870,50000
102,2025-05-03,Instagram,Video,"5,890",230,112,45300,31450,75000
103,05-May-2025,TikTok,Video,"12,400",450,560,120500,98000,22000
104,2025-05-06,facebook,Image,980,45,,12300,8750,50100
105,2025-05-08,Instagram,Image,"3,100",150,88,28700,19800,75500
106,10-May-2025,Facebook,Text,550,30,15,8500,6200,50150
107,2025-05-11,TikTok,Video,N/A,680,890,155000,125000,23500
108,2025-05-12,Instagram,Video,"6,200",280,130,51000,35000,75800
109,2025-05-15,FB,Link,430,25,10,7200,5100,50200
110,16-May-2025,Instagram,Image,"2,950",140,80,27500,18900,76000
110,16-May-2025,Instagram,Image,"2,950",140,80,27500,18900,76000
111,2025-05-18,TikTok,Video,"15,800",890,1100,210000,180000,25000
112,2025-05-20,Facebook,Video,"2,800",120,95,25000,18000,50500
113,2025-05-22,Instagram,Image,"3,500",180,90,31000,22000,76500
114,23-May-2025,LinkedIn,Text,"1,100",95,150,18000,11000,15000
115,2025-05-25,facebook,Image,1100,55,30,14000,9500,50600
116,2025-06-01,Instagram,Video,"7,100",310,150,62000,45000,77000
117,2025-06-02,TikTok,Video,"18,200",1100,1500,250000,210000,28000
118,04-Jun-2025,Facebook,Image,"1,500",100,60,18000,12000,50800
119,2025-06-05,Instagram,Image,,160,85,30000,21000,77500
120,2025-06-07,LinkedIn,Text,"1,300",110,180,21000,14000,15500
121,08-Jun-2025,FB,Video,"3,200",150,110,30000,22000,51000
122,2025-06-10,TikTok,Video,"22,000",1500,2000,310000,280000,32000
123,2025-06-12,Instagram,Reel,"9,500",400,200,85000,65000,78000
124,14-Jun-2025,Facebook,Image,"1,800",110,70,20000,14000,51200
125,2025-06-15,LinkedIn,Image,980,80,120,16000,10000,16000